id,magnitude,location,timestamp,longitude,latitude
128,1.54,"4 km SSW of Snoqualmie, Washington",2023-02-18 02:47:33.310,-121.85,47.49
129,0.70,Washington,2023-02-18 06:38:03.510,-121.75,46.85
130,0.39,Washington,2023-02-19 08:09:54.170,-121.95,46.97
131,0.46,"11 km NNE of Ashford, Washington",2023-02-19 21:10:20.900,-121.97,46.86
132,0.62,"2 km NW of Bangor Trident Base, Washington",2023-02-20 20:46:18.340,-122.74,47.73
133,2.03,"3 km WNW of Gorst, Washington",2023-02-20 23:18:43.970,-122.75,47.54
134,0.55,"16 km NE of Ashford, Washington",2023-02-20 23:21:13.810,-121.90,46.88
135,1.60,"4 km ENE of Lake Marcel-Stillwater, Washington",2023-02-21 00:38:47.050,-121.86,47.71
136,1.75,"23 km ENE of Ashford, Washington",2023-02-21 12:54:59.510,-121.76,46.85
137,0.34,"23 km ENE of Ashford, Washington",2023-02-21 12:57:24.630,-121.76,46.85
138,0.48,"23 km ENE of Ashford, Washington",2023-02-21 13:05:08.910,-121.76,46.85
139,1.16,"23 km ENE of Ashford, Washington",2023-02-21 13:06:40.600,-121.76,46.85
140,0.67,"23 km ENE of Ashford, Washington",2023-02-21 13:13:51.910,-121.76,46.85
141,0.88,"23 km ENE of Ashford, Washington",2023-02-21 13:16:00.570,-121.76,46.85
142,1.17,"5 km NE of Ashford, Washington",2023-02-21 13:28:13.850,-121.97,46.79
143,0.63,Washington,2023-02-21 13:31:23.220,-121.76,46.85
144,1.19,"23 km ENE of Ashford, Washington",2023-02-21 13:42:14.430,-121.76,46.85
145,0.97,"23 km ENE of Ashford, Washington",2023-02-21 14:22:25.550,-121.76,46.85
146,0.55,Washington,2023-02-21 19:35:15.880,-121.75,46.86
147,0.54,Washington,2023-02-21 19:36:41.870,-121.76,46.86
148,1.08,"5 km SSE of Monroe, Washington",2023-02-21 20:00:24.620,-121.94,47.81
149,0.69,"23 km ENE of Ashford, Washington",2023-02-21 20:24:13.470,-121.76,46.85
150,0.78,"15 km NE of Ashford, Washington",2023-02-22 01:47:17.790,-121.91,46.88
151,-0.35,"23 km SSW of Greenwater, Washington",2023-02-22 12:20:52.310,-121.72,46.95
152,1.07,"25 km ENE of Ashford, Washington",2023-02-22 15:35:30.540,-121.71,46.84
153,1.17,"11 km W of Greenwater, Washington",2023-02-22 23:39:13.210,-121.81,47.16
154,1.25,"5 km SE of Quilcene, Washington",2023-02-23 08:56:20.540,-122.83,47.78
155,1.73,"2 km SSW of Burien, Washington",2023-02-23 10:36:49.820,-122.36,47.45
156,2.44,"0 km NW of Des Moines, Washington",2023-02-23 10:37:31.760,-122.33,47.41
157,2.00,"Puget Sound region, Washington",2023-02-23 11:55:28.920,-122.33,47.41
158,1.95,"1 km NNW of Des Moines, Washington",2023-02-23 13:28:24.100,-122.34,47.42
159,1.50,Washington,2023-02-24 07:50:50.840,-121.96,47.74
160,1.58,"4 km ESE of Quilcene, Washington",2023-02-24 15:19:41.700,-122.81,47.81
161,0.31,"21 km ENE of Ashford, Washington",2023-02-24 17:03:34.470,-121.79,46.86
162,0.18,"26 km ENE of Ashford, Washington",2023-02-25 03:50:21.320,-121.73,46.87
163,0.07,"24 km ENE of Ashford, Washington",2023-02-25 10:14:51.500,-121.73,46.85
164,0.22,"9 km ENE of Ashford, Washington",2023-02-26 00:04:09.930,-121.92,46.79
165,0.68,"16 km SSE of Carbonado, Washington",2023-02-26 18:09:31.160,-121.97,46.94
166,1.02,"3 km S of Quilcene, Washington",2023-02-26 21:05:20.500,-122.87,47.79
167,0.39,"23 km ENE of Ashford, Washington",2023-02-27 13:08:33.850,-121.75,46.85
168,0.54,"12 km NE of Ashford, Washington",2023-02-28 10:55:57.440,-121.94,46.85
169,0.95,Washington,2023-02-28 14:10:34.820,-122.16,46.75
170,0.72,Washington,2023-02-28 15:36:42.420,-121.91,47.15
171,0.37,"17 km NNE of Ashford, Washington",2023-02-28 20:15:54.680,-121.95,46.91
172,0.90,"3 km SSE of Quilcene, Washington",2023-02-28 22:21:06.530,-122.85,47.79
173,1.53,"4 km SW of Port Ludlow, Washington",2023-03-01 19:08:55.520,-122.72,47.89
174,1.58,"2 km NNE of Woods Creek, Washington",2023-03-01 21:18:50.140,-121.89,47.90
175,0.36,"16 km NE of Ashford, Washington",2023-03-02 06:38:35.930,-121.89,46.87
176,1.72,"1 km ENE of Granite Falls, Washington",2023-03-02 22:44:27.530,-121.94,48.09
177,1.28,"1 km W of Chico, Washington",2023-03-03 11:36:30.290,-122.73,47.61
178,1.85,"4 km ENE of La Conner, Washington",2023-03-04 06:42:45.810,-122.44,48.41
179,1.42,"3 km SSE of Quilcene, Washington",2023-03-04 23:23:54.030,-122.85,47.79
180,0.23,"23 km ENE of Ashford, Washington",2023-03-05 03:52:28.020,-121.76,46.85
181,0.35,"15 km NNE of Ashford, Washington",2023-03-06 20:08:50.370,-121.92,46.88
182,-0.03,"23 km ENE of Ashford, Washington",2023-03-07 00:17:02.520,-121.76,46.85
183,0.54,"7 km E of Ashford, Washington",2023-03-07 10:16:47.800,-121.94,46.75
184,0.83,"23 km ENE of Ashford, Washington",2023-03-07 12:03:52.980,-121.76,46.85
185,0.41,"23 km ENE of Ashford, Washington",2023-03-07 14:47:09.200,-121.76,46.85
186,1.13,"14 km NNE of Jamestown, Washington",2023-03-07 15:25:26.220,-123.05,48.26
187,0.42,"14 km NNE of Ashford, Washington",2023-03-07 18:07:46.860,-121.93,46.87
188,1.37,"13 km W of Greenwater, Washington",2023-03-07 19:18:30.330,-121.83,47.16
189,1.09,"4 km SSE of Quilcene, Washington",2023-03-08 09:42:56.780,-122.85,47.79
190,-0.16,"22 km ENE of Ashford, Washington",2023-03-08 21:20:17.910,-121.76,46.85
191,0.44,"6 km S of Crocker, Washington",2023-03-09 04:42:32.240,-122.10,47.02
192,1.67,"4 km SE of Quilcene, Washington",2023-03-11 00:45:24.600,-122.84,47.79
193,-0.09,Washington,2023-03-11 09:34:11.110,-121.75,46.85
194,0.82,"3 km SE of Enumclaw, Washington",2023-03-11 11:12:19.310,-121.96,47.18
195,1.70,"2 km ESE of Enetai, Washington",2023-03-11 13:20:36.090,-122.56,47.58
196,0.49,Washington,2023-03-12 03:30:41.640,-121.73,46.83
197,-0.07,Washington,2023-03-12 09:21:00.880,-121.76,46.85
198,1.24,"4 km NNE of White Center, Washington",2023-03-12 12:03:29.410,-122.33,47.55
199,1.01,"8 km NNW of Quilcene, Washington",2023-03-12 20:42:51.300,-122.91,47.89
200,1.09,"1 km ENE of Tracyton, Washington",2023-03-12 22:24:10.390,-122.64,47.61
201,1.28,"Puget Sound region, Washington",2023-03-13 04:21:25.610,-122.33,47.81
202,1.25,"5 km S of Quilcene, Washington",2023-03-13 12:54:16.630,-122.86,47.77
203,1.41,"1 km NNE of Kapowsin, Washington",2023-03-13 22:39:08.690,-122.22,47.00
204,0.79,"2 km NNW of Lake Marcel-Stillwater, Washington",2023-03-15 04:32:29.520,-121.93,47.71
205,0.53,"13 km NNE of Ashford, Washington",2023-03-15 11:53:46.110,-121.94,46.86
206,0.52,"12 km NNE of Ashford, Washington",2023-03-15 11:55:50.720,-121.94,46.86
207,0.34,"12 km NNE of Ashford, Washington",2023-03-15 12:24:49.830,-121.95,46.86
208,1.22,Washington,2023-03-16 00:35:12.220,-121.87,47.91
209,1.53,"12 km ESE of Riverbend, Washington",2023-03-17 01:13:44.560,-121.60,47.42
210,2.02,"4 km SSE of Quilcene, Washington",2023-03-17 10:27:15.870,-122.85,47.79
211,0.77,"5 km SE of Enumclaw, Washington",2023-03-18 05:00:00.310,-121.95,47.17
212,-0.18,"24 km ENE of Ashford, Washington",2023-03-18 09:00:05.460,-121.76,46.87
213,0.09,"14 km NNE of Ashford, Washington",2023-03-19 00:36:25.230,-121.94,46.88
214,0.49,"24 km ENE of Ashford, Washington",2023-03-19 00:39:42.420,-121.76,46.87
215,0.02,"20 km ENE of Ashford, Washington",2023-03-19 01:58:20.200,-121.79,46.84
216,0.11,"17 km NNE of Ashford, Washington",2023-03-19 05:06:50.590,-121.94,46.90
217,-0.19,"23 km ENE of Ashford, Washington",2023-03-19 08:44:11.930,-121.76,46.85
218,0.45,"6 km NE of Duvall, Washington",2023-03-19 10:22:05.260,-121.92,47.78
219,0.14,"25 km ENE of Ashford, Washington",2023-03-19 13:54:46.290,-121.75,46.87
220,1.21,"11 km NE of Ashford, Washington",2023-03-20 02:25:57.710,-121.92,46.83
221,0.89,"1 km SSW of Pacific, Washington",2023-03-20 05:40:02.320,-122.26,47.25
222,0.73,"0 km N of Lakeland South, Washington",2023-03-20 05:41:09.350,-122.28,47.29
223,0.54,"0 km ENE of Lakeland South, Washington",2023-03-20 06:36:38.860,-122.27,47.28
224,0.73,"27 km N of Packwood, Washington",2023-03-20 12:04:17.680,-121.67,46.85
225,1.21,"2 km WNW of Keyport, Washington",2023-03-20 12:13:58.540,-122.65,47.71
226,1.84,"0 km WSW of Enetai, Washington",2023-03-20 16:24:05.050,-122.60,47.58
227,1.64,"2 km S of Kapowsin, Washington",2023-03-20 18:43:08.600,-122.22,46.97
228,1.43,"0 km WSW of Burien, Washington",2023-03-20 21:18:04.330,-122.35,47.47
229,0.77,"3 km S of Quilcene, Washington",2023-03-21 11:37:26.530,-122.88,47.80
230,0.10,Washington,2023-03-21 17:21:02.840,-121.76,46.85
231,0.24,"23 km ENE of Ashford, Washington",2023-03-22 06:00:00.700,-121.76,46.85
232,0.25,Washington,2023-03-22 15:56:45.010,-121.94,46.82
233,1.79,"Puget Sound region, Washington",2023-03-22 16:18:28.050,-122.40,47.32
234,0.16,"14 km NE of Ashford, Washington",2023-03-22 23:56:43.530,-121.92,46.86
235,1.43,"5 km SE of Riverbend, Washington",2023-03-23 05:25:28.020,-121.70,47.43
236,0.54,"7 km SW of Lyman, Washington",2023-03-23 10:06:21.020,-122.13,48.48
237,0.22,"26 km ENE of Ashford, Washington",2023-03-23 14:22:36.390,-121.73,46.88
238,0.90,"9 km ESE of Enumclaw, Washington",2023-03-24 05:51:24.150,-121.87,47.18
239,2.40,"11 km NE of Hoodsport, Washington",2023-03-24 08:45:10.800,-123.04,47.49
240,0.72,"23 km ENE of Ashford, Washington",2023-03-24 22:56:07.600,-121.76,46.85
241,1.09,"23 km ENE of Ashford, Washington",2023-03-25 02:04:50.510,-121.75,46.85
242,0.38,"23 km ENE of Ashford, Washington",2023-03-25 05:59:38.030,-121.76,46.86
243,1.17,"2 km SW of Issaquah, Washington",2023-03-25 08:24:59.730,-122.06,47.52
244,1.69,"0 km ESE of Grapeview, Washington",2023-03-25 08:28:42.150,-122.83,47.33
245,1.10,"6 km SSW of Swede Heaven, Washington",2023-03-26 10:51:35.340,-121.76,48.23
246,1.04,"15 km NNE of Ashford, Washington",2023-03-26 12:13:38.620,-121.94,46.89
247,-0.02,"10 km NE of Ashford, Washington",2023-03-26 14:21:16.750,-121.95,46.83
248,1.35,Washington,2023-03-27 03:17:25.680,-121.87,48.30
249,1.80,"1 km W of Suquamish, Washington",2023-03-27 20:27:45.060,-122.57,47.73
250,1.46,"2 km E of Kapowsin, Washington",2023-03-27 23:11:03.920,-122.19,46.98
251,0.69,"7 km E of Verlot, Washington",2023-03-28 13:42:23.480,-121.67,48.10
252,0.62,"6 km NE of Oso, Washington",2023-03-28 18:32:55.790,-121.87,48.31
253,1.89,"2 km SSW of Esperance, Washington",2023-03-29 13:04:52.270,-122.37,47.77
254,1.49,"4 km SW of Port Ludlow, Washington",2023-03-29 20:46:21.240,-122.73,47.90
255,1.68,"2 km SSW of Gorst, Washington",2023-03-29 22:26:26.830,-122.72,47.51
256,0.82,"1 km S of Erlands Point-Kitsap Lake, Washington",2023-03-30 04:27:50.960,-122.70,47.58
257,0.35,"24 km ENE of Ashford, Washington",2023-03-30 06:27:10.360,-121.75,46.87
258,1.19,"7 km SW of Verlot, Washington",2023-03-30 19:54:44.770,-121.85,48.04
259,1.65,"4 km NNW of White Center, Washington",2023-03-31 04:50:29.670,-122.37,47.56
260,0.18,"22 km ENE of Ashford, Washington",2023-03-31 13:13:55.760,-121.77,46.86
261,1.40,"5 km W of Darrington, Washington",2023-03-31 15:13:52.660,-121.67,48.25
262,0.80,"24 km ENE of Ashford, Washington",2023-04-01 04:03:58.030,-121.76,46.88
263,1.11,"0 km N of Alderton, Washington",2023-04-01 06:28:38.430,-122.23,47.17
264,0.04,"23 km ENE of Ashford, Washington",2023-04-01 20:01:40.640,-121.75,46.85
265,0.85,"2 km WNW of Hoodsport, Washington",2023-04-02 11:32:01.950,-123.17,47.41
266,0.59,"24 km ENE of Ashford, Washington",2023-04-02 21:26:39.570,-121.76,46.87
267,1.59,"3 km SSE of Quilcene, Washington",2023-04-03 18:17:11.280,-122.86,47.79
268,1.42,"4 km ENE of Swede Heaven, Washington",2023-04-03 18:45:18.910,-121.68,48.30
269,0.24,"24 km NE of Ashford, Washington",2023-04-03 19:30:15.310,-121.77,46.89
270,0.88,"9 km E of Lake Marcel-Stillwater, Washington",2023-04-04 02:55:39.360,-121.80,47.68
271,0.34,"26 km ENE of Ashford, Washington",2023-04-04 07:05:42.090,-121.74,46.88
272,0.88,"3 km SE of Enumclaw, Washington",2023-04-04 09:10:36.670,-121.96,47.18
273,0.78,Washington,2023-04-04 10:25:25.820,-121.94,47.19
274,1.20,"11 km S of Shelton, Washington",2023-04-04 18:31:18.920,-123.11,47.11
275,0.56,"10 km SSE of Carbonado, Washington",2023-04-04 19:29:45.000,-122.00,46.99
276,0.77,"24 km ENE of Ashford, Washington",2023-04-04 19:36:32.960,-121.75,46.86
277,0.74,"3 km SE of Big Lake, Washington",2023-04-04 19:51:59.910,-122.20,48.38
278,1.32,"11 km W of Greenwater, Washington",2023-04-04 22:35:33.520,-121.81,47.16
279,0.35,"24 km ENE of Ashford, Washington",2023-04-05 08:40:35.180,-121.74,46.86
280,0.34,Washington,2023-04-05 08:40:51.150,-121.74,46.86
281,0.88,"9 km N of Belfair, Washington",2023-04-05 15:25:03.800,-122.84,47.54
282,0.72,"3 km SSW of Wilderness Rim, Washington",2023-04-06 02:45:52.520,-121.79,47.42
283,0.22,"22 km ENE of Ashford, Washington",2023-04-06 12:18:43.180,-121.77,46.85
284,2.02,"13 km W of Ault Field, Washington",2023-04-06 22:59:05.830,-122.86,48.34
285,1.90,"1 km ENE of Granite Falls, Washington",2023-04-07 19:42:31.030,-121.95,48.09
286,0.50,"25 km NE of Ashford, Washington",2023-04-08 07:25:35.710,-121.76,46.89
287,0.42,"22 km ENE of Ashford, Washington",2023-04-08 11:21:00.980,-121.76,46.84
288,0.46,"22 km ENE of Ashford, Washington",2023-04-08 11:29:57.640,-121.76,46.84
289,0.36,"27 km NE of Ashford, Washington",2023-04-09 04:05:24.790,-121.73,46.90
290,1.38,"1 km NW of Lake Marcel-Stillwater, Washington",2023-04-10 02:48:49.710,-121.93,47.70
291,1.20,"1 km WSW of Eatonville, Washington",2023-04-10 19:07:18.320,-122.29,46.86
292,1.78,"1 km ESE of Kapowsin, Washington",2023-04-10 22:20:17.760,-122.20,46.98
293,0.51,"17 km ENE of Ashford, Washington",2023-04-11 08:29:12.120,-121.83,46.83
294,0.56,"10 km NE of Ashford, Washington",2023-04-11 22:54:47.380,-121.95,46.83
295,0.77,"27 km ENE of Ashford, Washington",2023-04-12 01:16:53.060,-121.73,46.88
296,0.38,"23 km ENE of Ashford, Washington",2023-04-12 07:41:01.770,-121.76,46.85
297,0.91,"23 km ENE of Ashford, Washington",2023-04-12 17:15:41.410,-121.75,46.85
298,1.68,"Puget Sound region, Washington",2023-04-13 04:18:33.400,-122.05,47.83
299,1.60,"2 km NE of Esperance, Washington",2023-04-13 06:20:18.130,-122.33,47.80
300,0.35,"23 km ENE of Ashford, Washington",2023-04-13 07:24:39.970,-121.76,46.85
301,0.52,"22 km ENE of Ashford, Washington",2023-04-14 04:48:40.920,-121.77,46.87
